Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
327,06/12/14 17:16:00,291,,0.000,-0.199,4.51
328,06/12/14 17:17:00,284,,0.000,-0.199,4.51
329,06/12/14 17:18:00,277,,0.000,-0.199,4.51
330,06/12/14 17:19:00,269,,0.000,-0.199,4.51
331,06/12/14 17:20:00,263,,0.000,-0.199,4.51
332,06/12/14 17:21:00,254,,0.000,-0.199,4.51
333,06/12/14 17:22:00,247,,0.000,-0.199,4.49
334,06/12/14 17:23:00,237,,0.000,-0.199,4.44
335,06/12/14 17:24:00,228,,0.000,-0.199,4.39
336,06/12/14 17:25:00,218,,0.000,-0.199,4.44
337,06/12/14 17:26:00,209,,0.000,-0.199,4.47
338,06/12/14 17:27:00,201,,0.000,-0.199,4.48
339,06/12/14 17:28:00,192,,0.000,-0.199,4.50
340,06/12/14 17:29:00,187,,0.000,-0.199,4.50
341,06/12/14 17:30:00,182,,0.000,-0.199,4.51
342,06/12/14 17:31:00,178,,0.000,-0.199,4.51
343,06/12/14 17:32:00,176,,0.000,-0.199,4.51
344,06/12/14 17:33:00,172,,0.000,-0.199,4.51
345,06/12/14 17:34:00,169,,0.000,-0.199,4.51
346,06/12/14 17:35:00,166,,0.000,-0.199,4.51
347,06/12/14 17:36:00,162,,0.000,-0.199,4.51
348,06/12/14 17:37:00,159,,0.000,-0.199,4.51
349,06/12/14 17:38:00,156,,0.000,-0.199,4.51
350,06/12/14 17:39:00,153,,0.000,-0.199,4.51
351,06/12/14 17:40:00,151,,0.000,-0.199,4.51
352,06/12/14 17:41:00,149,,0.000,-0.199,4.51
353,06/12/14 17:42:00,146,,0.000,-0.199,4.51
354,06/12/14 17:43:00,141,,0.000,-0.199,4.51
355,06/12/14 17:44:00,134,,0.000,-0.199,4.51
356,06/12/14 17:45:00,128,,0.000,-0.199,4.51
357,06/12/14 17:46:00,122,,0.000,-0.199,4.51
358,06/12/14 17:47:00,116,,0.000,-0.199,4.51
359,06/12/14 17:48:00,112,,0.000,-0.199,4.51
360,06/12/14 17:49:00,108,,0.000,-0.199,4.51
361,06/12/14 17:50:00,104,,0.000,-0.199,4.51
362,06/12/14 17:51:00,103,,0.000,-0.199,4.51
363,06/12/14 17:52:00,103,,0.000,-0.199,4.51
364,06/12/14 17:53:00,103,,0.000,-0.199,4.51
365,06/12/14 17:54:00,103,,0.000,-0.199,4.51
366,06/12/14 17:55:00,101,,0.000,-0.199,4.52
367,06/12/14 17:56:00,98,,0.000,-0.199,4.51
368,06/12/14 17:57:00,97,,0.000,-0.199,4.51
369,06/12/14 17:58:00,93,,0.000,-0.199,4.54
370,06/12/14 17:59:00,91,,0.000,-0.199,4.53
371,06/12/14 18:00:00,86,,0.000,-0.199,4.54
372,06/12/14 18:01:00,82,,0.000,-0.199,4.52
373,06/12/14 18:02:00,78,,0.000,-0.199,4.43
374,06/12/14 18:03:00,74,,0.000,-0.199,4.36
375,06/12/14 18:04:00,69,,0.000,-0.199,4.36
376,06/12/14 18:05:00,66,,0.000,-0.199,4.38
377,06/12/14 18:06:00,63,,0.000,-0.199,4.39
378,06/12/14 18:07:00,58,,0.000,-0.199,4.40
379,06/12/14 18:08:00,53,,0.000,-0.199,4.41
380,06/12/14 18:09:00,48,,0.000,-0.199,4.42
381,06/12/14 18:10:00,44,,0.000,-0.199,4.43
382,06/12/14 18:11:00,41,,0.000,-0.199,4.44
